ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB,IndividualC,IndividualD,IndividualE
G_Gri20220812PM,Griffin,2022-08-12,PM,1,1,Griffin,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,1,24,Lexi,Forage,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,1,34,Lily,Inactive,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,1,50,Widget,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,1,53,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,2,182,Griffin,Forage,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,2,211,Lexi,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,2,220,Lily,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,2,225,Widget,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,2,239,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,3,363,Griffin,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,3,371,Lexi,Forage,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,3,379,Lily,Groom,Lexi,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,3,388,Widget,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,3,392,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,4,542,Griffin,Proximity-Feed,Lexi,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,4,549,Lexi,Proximity-Feed,Griffin,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,4,560,Lily,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,4,565,Widget,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,4,570,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,723,Griffin,Proximity-Feed,Lexi,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,731,Lexi,Proximity,Griffin,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,738,Lexi,Contact,Lily,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,745,Lily,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,749,Widget,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,5,752,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,6,903,Griffin,Proximity-Feed,Lexi,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,6,910,Lexi,Solo-Feed,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,6,917,Lily,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,6,930,Widget,Inactive,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,6,933,Wren,Locomote,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,7,1083,Griffin,Inactive,,,,
G_Gri20220812PM,Griffin,2022-08-12,PM,7,1087,Lexi,Inactive,,,,
