ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB,IndividualC,IndividualD,IndividualE
G_Gri20221102PM,Griffin,11/2/2022,PM,1,4,Nkima,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,1,18,Nala,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,1,36,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,1,43,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,2,188,Nkima,Proximity-Feed,Gambit,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,2,198,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,2,207,Gambit,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,2,215,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,3,369,Nkima,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,3,374,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,3,381,Gambit,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,3,392,Lychee,Abnormal,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,4,543,Nkima,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,4,552,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,4,557,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,4,562,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,5,727,Nkima,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,5,732,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,5,743,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,5,751,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,6,905,Nkima,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,6,915,Nala,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,6,922,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,6,931,Lychee,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,7,1087,Nkima,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,7,1092,Nala,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,7,1098,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,7,1105,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,8,1265,Nkima,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,8,1275,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,8,1283,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,8,1292,Lychee,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,9,1446,Nkima,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,9,1451,Nala,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,9,1458,Gambit,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,9,1473,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,10,1626,Nkima,Inactive,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,10,1638,Nala,Solo-Feed,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,10,1648,Gambit,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,10,1653,Lychee,Locomote,,,,
G_Gri20221102PM,Griffin,11/2/2022,PM,11,1806,Nkima,Inactive,,,,
