ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB,IndividualC,IndividualD,IndividualE
G_Mas20220617PM,Mason,2022-06-17,PM,1,0,Mason,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,26,Scarlett,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,53,Benny,Inactive,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,69,Bias,Forage,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,81,Bailey,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,104,Beeker,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,1,122,Gonzo,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,220,Gretel,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,224,Mason,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,231,Scarlett,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,238,Benny,Proximity-Feed,Gonzo,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,245,Bias,Forage,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,256,Bailey,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,261,Beeker,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,266,Gonzo,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,2,271,Gretel,Proximity-Feed,Benny,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,362,Mason,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,385,Scarlett,Proximity-Feed,Beeker,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,400,Benny,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,406,Bias,Forage,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,417,Bailey,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,422,Beeker,Proximity-Feed,Scarlett,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,436,Gonzo,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,3,443,Gretel,Proximity-Feed,Benny,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,542,Mason,Proximity-Feed,Gonzo,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,582,Scarlett,Proximity-Feed,Beeker,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,589,Benny,,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,603,Bias,Proximity-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,621,Bailey,Solo-Feed,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,627,Beeker,Proximity-Feed,Scarlett,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,655,Gonzo,Inactive,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,4,667,Gretel,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,5,723,Mason,Inactive,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,5,740,Scarlett,Inactive,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,5,747,Benny,Inactive,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,5,751,Bias,Locomote,,,,
G_Mas20220617PM,Mason,2022-06-17,PM,5,755,Bailey,Inactive,,,,
