ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20211207PM,Gabe,2021-12-07,PM,1,1,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,1,26,Isabelle,Forage,
G_Gab20211207PM,Gabe,2021-12-07,PM,1,52,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,1,66,Atilla,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,2,184,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,2,215,Isabelle,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,2,235,Apple,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,2,249,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,3,365,Gabe,Proximity-Feed,Atilla
G_Gab20211207PM,Gabe,2021-12-07,PM,3,381,Isabelle,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,3,387,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,3,395,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,4,547,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,4,554,Isabelle,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,4,563,Apple,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,4,582,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,5,725,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,5,732,Isabelle,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,5,756,Apple,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,5,760,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,6,911,Gabe,Forage,
G_Gab20211207PM,Gabe,2021-12-07,PM,6,918,Isabelle,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,6,927,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,6,933,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,7,1085,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,7,1104,Isabelle,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,7,1111,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,7,1124,Atilla,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,8,1265,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,8,1275,Isabelle,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,8,1283,Apple,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,8,1292,Atilla,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,9,1445,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,9,1452,Isabelle,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,9,1458,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,9,1462,Atilla,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,10,1629,Gabe,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,10,1636,Isabelle,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,10,1645,Apple,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,10,1654,Atilla,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,11,1810,Gabe,Solo-Feed,
G_Gab20211207PM,Gabe,2021-12-07,PM,11,1817,Isabelle,Inactive,
G_Gab20211207PM,Gabe,2021-12-07,PM,11,1822,Apple,Locomote,
G_Gab20211207PM,Gabe,2021-12-07,PM,11,1827,Atilla,Locomote,
G_Gab20211208AM,Gabe,2021-12-08,AM,1,8,Gabe,Manipulate,
G_Gab20211208AM,Gabe,2021-12-08,AM,1,15,Isabelle,Locomote,
G_Gab20211208AM,Gabe,2021-12-08,AM,1,21,Apple,Inactive,
